locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Jasień,ul. Królewskie Wzgórze,3,47,649000,13809,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-krolewskie-wzgorze-3-pokojowe-c1i1j0,https://s2.adresowa.pl/oi/43/7e/3ac9b6_7f01_cover-3-pokojowe-mieszkanie-gdansk-jasien-ul-krolewskie-wzgorze.jpg
Gdańsk Letnica,,2,52,744999,14332,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-gdansk-letnica-2-pokojowe-51-m2-l9i5s1,https://s2.adresowa.pl/oi/4c/49/3ac1e4_726f_cover-2-pokojowe-mieszkanie-gdansk-letnica.jpg
Gdańsk Jasień,ul. Potęgowska,4,77,920000,11902,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-potegowska-4-pokojowe-o4e3x9,https://s2.adresowa.pl/oi/3e/6e/3af58e_ce05_cover-4-pokojowe-mieszkanie-gdansk-jasien-ul-potegowska.jpg
Gdańsk Letnica,ul. Letnicka,3,67,1100000,16430,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-letnicka-3-pokojowe-r5i9k8,https://s2.adresowa.pl/oi/2a/5a/3af452_bc73_cover-3-pokojowe-mieszkanie-gdansk-letnica-ul-letnicka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Morena,ul. Orańska,2,43,620000,14419,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-oranska-2-pokojowe-a5t8d7,https://s2.adresowa.pl/oi/78/18/3af2b8_bc95_cover-2-pokojowe-mieszkanie-gdansk-morena-ul-oranska.jpg
Gdańsk Łostowice,ul. Olimpijska,3,63,629000,9984,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-olimpijska-3-pokojowe-p6v8b6,https://s2.adresowa.pl/oi/3d/79/3abe7a_4822_cover-3-pokojowe-mieszkanie-gdansk-lostowice-ul-olimpijska.jpg
Gdańsk Zaspa,ul. Leszczyńskich,4,72,940000,13108,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-leszczynskich-4-pokojowe-e0p8r2,https://s2.adresowa.pl/oi/2f/62/3abe70_f5d8_cover-4-pokojowe-mieszkanie-gdansk-zaspa-ul-leszczynskich.jpg
Gdańsk Aniołki,ul. Kolejowa,3,47,615000,13113,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-aniolki-ul-kolejowa-3-pokojowe-m9i0q2,https://s2.adresowa.pl/oi/29/40/3af1f6_a0ac_cover-3-pokojowe-mieszkanie-gdansk-aniolki-ul-kolejowa.jpg
Gdańsk Śródmieście,ul. Mostek,1,26,549900,21150,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-mostek-1-pokoj-v2o5h0,https://s2.adresowa.pl/oi/78/31/3a5e06_35d8_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-mostek.jpg
